search_string,predict_under_code,line_no,similarity,filepath
"// TODO (@author fdietz): should be removed if we only use // Streams!","decryptedBodyPart = StreamUtils",240,0.9056603773584906,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/gui/message/filter/PGPMessageFilter.java
"// FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?","buf.append("<!DOCTYPE HTML PUBLIC "",281,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/composer/MessageComposer.java
"// this is a hack for the multiline column","if ( name.equals("MultiLine")) {",220,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/gui/table/TableView.java
"//TODO (@author tstich): do something","}",92,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/parser/PassiveHeaderParserInputStream.java
"// TODO (@author fdietz): i18n","Wizard wizard = new Wizard(model, "External Tools Configuration",",97,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/columba/core/gui/externaltools/ExternalToolsWizardLauncher.java
"// FIXME remove method // toolbarPane.add(c);","* @see org.columba.api.gui.frame.IContainer#setToolBar(org.columba.core.gui.toolbar.ToolBar)",754,0.6440677966101694,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/columba/core/gui/frame/DefaultContainer.java
"//TODO (@author fdietz): i18n","Wizard wizard = new Wizard(model, "External Tools Configuration",",97,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/columba/core/gui/externaltools/ExternalToolsWizardLauncher.java
"// TODO @author hubms: copied from frederiks search builder","public static URI createURI(String folderId, Object messageId) {",88,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/folder/command/TagMessageCommand.java
"// real stupid recreation of whole list model // -> replace with id-based listmodel update","private void updateList() {",324,0.6666666666666666,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/columba/core/gui/tagging/TagList.java
"// TODO (@author karlpeder): Extend handling of special entities as in restoreSpecialCharacters","/*",474,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/parser/text/HtmlParser.java
""/**     * Transforms email-addresses into HTML just as     * substituteEmailAddress(String), but tries to ignore email-addresses,     * which are already links, if the ignore links flag is set.     * <br>     * This extended functionality is necessary when parsing a text which     * is already (partly) html.     * <br>     * FIXME: Can this be done smarter, i.e. directly with reg. expr. without manual parsing??     *     * @param         s                                input text     * @param        ignoreLinks                if true link tags are ignored. This gives a     *                                                         wrong result if some e-mail adresses are     *                                                         already links (but uses reg. expr. directly,     *                                                         and is therefore faster)     * @return        text with email-adresses transformed to links     */"","*                         (null on error)",607,0.06104129263913824,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/parser/text/HtmlParser.java
"//TODO: Return content encoding according to the mime part in the mail","return null;",41,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/url/cid/CidURLConnection.java
"//TODO: Return content type according to the mime part in the mail","return null;",36,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/url/cid/CidURLConnection.java
"// hack to support dockable view title update // TODO replace with listener pattern","if (mediator instanceof ThreePaneMailFrameController) {",303,0.7037037037037037,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/gui/message/viewer/HeaderViewer.java
"/*TODO stop polling thread?! */","}",276,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/columba/core/scripting/FileObserverThread.java
"// TODO @author hubms: bad: if there is a icon it is tagged or // not","// pass command to scheduler",139,0.9514563106796117,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/gui/table/action/TagMessageMenu.java
"// TODO categoryEnumeration","return null;",348,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/calendar/src/main/java/org/columba/calendar/parser/XCSDocumentParser.java
"// hack: if start and end time is at 00:00:00:000 it is // an all day event","allDayEvent = startAtNullOClock && endAtNullOClock;",22,0.8543689320388349,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/calendar/src/main/java/org/columba/calendar/parser/ParserHelper.java
"// register interest on store changes // TODO the dependency should be the other way around","addStorageListener(StoreEventDelegator.getInstance());",35,0.5925925925925926,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/calendar/src/main/java/org/columba/calendar/store/AbstractCalendarStore.java
"// TODO: fix layout to look good, even if there's not enough information provided","public class ContactDetailsContextualProvider implements IContextProvider {",24,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/contact/src/main/java/org/columba/addressbook/gui/context/ContactDetailsContextualProvider.java
"// FIXME: ugly cast to ContactModel","IContactModel card = null;",68,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/contact/src/main/java/org/columba/addressbook/gui/table/TableMouseListener.java
"// @TODO dont use deprecated method","if (IndexReader.getCurrentVersion(luceneIndexDir) != luceneLastModified) {",174,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/folder/search/LuceneQueryEngine.java
"/* TODO must get polling interval from config file */","observerThread = new ObserverThread(",38,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/columba/core/filemonitor/FileMonitorService.java
"//      TODO: reactivate when feature is supported","/*",132,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/gui/config/account/SecurityPanel.java
"// If this folder has children add them // TODO: In the future we should try to fetch additional children on demand // when the tree of the dialog is opened","if( info.getParameter(ListInfo.HASCHILDREN)) {",127,0.4050632911392405,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/mail/src/main/java/org/columba/mail/gui/config/subscribe/SynchronizeFolderListCommand.java
