search_string,predict_under_code,line_no,similarity,filepath
"// TODO factor up into GenBaseImpl //","None",None,None,None
"// EATM Call the deprecated method which does the same thing  // but might have an override in older code.","result = getFeature(object, prefix, name);",2975,0.7352941176470589,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore.xmi/src/org/eclipse/emf/ecore/xmi/impl/XMLHandler.java
"// Unused?","protected static IContainer findOrCreateContainer",2583,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenBaseImpl.java
"// TODO factor up into GenBaseImpl? //","None",None,None,None
"// call workaround","((ASTFacadeHelper.ASTRewriteWithRemove)rewriter).remove(bodyDeclaration, bodyDeclaration.getModifiersProperty(), (ASTNode)modifier);",99,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen/src/org/eclipse/emf/codegen/merge/java/facade/ast/ASTJMember.java
"// TODO deprecate (since getPluginClass() is no longer called) //","None",None,None,None
"// Ensure that this race condition is thread safe; it doesn't matter who wins the race. //","BasicEList<Entry<String, String>> [] result = newEntryData(2 * size + 1);",176,0.9863013698630136,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/impl/EAnnotationImpl.java
"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //","final MapDiff diff = Diffs.createMapDiffSingleChange(notification.getNotifier(), notification.getOldValue(), notification.getNewValue());",46,0.9420289855072463,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.databinding/src/org/eclipse/emf/databinding/EObjectObservableMap.java
"//DMS handle this well.","CodeGenEcorePlugin.INSTANCE.log(exception);",345,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/generator/GenPackageGeneratorAdapter.java
"//FB TBD can we come up with a better algorithm for choosing the default label feature?","for (GenFeature feature : getLabelFeatureCandidates())",2091,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/genmodel/impl/GenClassImpl.java
"//DMS should we let this exception out?","CodeGenEcorePlugin.INSTANCE.log(exception);",1517,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"//DMS What if Eclipse is running, but an invalid facade has been specified?  We still should format code, use encoding,...","newContents =",1045,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"//DMS  Do a better job with specific exceptions? Just use chained RuntimeExceptions?","throw e instanceof RuntimeException ? (RuntimeException)e : new WrappedException(e);",1098,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore/src/org/eclipse/emf/codegen/ecore/generator/AbstractGeneratorAdapter.java
"// If the delegate URI can be handled as a file,  // we'll hope that renaming it will be really efficient. //","if (useRenameTo)",510,0.608,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.common/src/org/eclipse/emf/common/archive/ArchiveURLConnection.java
"//DMS Why not this? //new SubProgressMonitor(progressMonitor, 1));","Generator.EMF_MODEL_PROJECT_STYLE | Generator.EMF_PLUGIN_PROJECT_STYLE);",110,0.42105263157894735,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/plugins/org.eclipse.emf.codegen.ecore.ui/src/org/eclipse/emf/codegen/ecore/ui/EmptyProjectWizard.java
