search_string,predict_under_code,line_no,similarity,filepath
"/* TODO: MVW: Why is this not done in GEF? */","Iterator it = getPathItemFigs().iterator();",1084,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/ui/FigEdgeModelElement.java
"// TODO: This is a temporary crutch to use until all Figs are updated // to use the constructor that accepts a DiagramSettings object","if (settings == null) {",240,0.6746987951807228,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/ui/ArgoFigText.java
"// TODO: There is a cyclic dependency between SelectionRerouteEdge // and FigEdgeModelElement","return new SelectionRerouteEdge(this);",558,0.8285714285714286,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/ui/FigEdgeModelElement.java
"// TODO: We need to rethrow this as some other exception // type but that is too much change for the moment.","LOG.error("Exception", e);",68,0.6917293233082706,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/ui/UMLComponentInstanceClassifierComboBoxModel.java
"// TODO: It's probably worthwhile to abstract and factor // this chooser and directory stuff. More file handling is // coming, I'm sure.","File theFile = new File(saveDir, defaultName + "."",153,0.5925925925925926,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/ui/ActionSaveAllGraphics.java
"// TODO: complete this implementation - tfm","return handle instanceof Component",2419,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java
"// TODO: This will vary based on the type of the TagDefinition","return String.class;",143,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/ui/TabTaggedValuesModel.java
"//setFontFamily("dialog"); /* TODO: Is this needed?*/","// forceRepaintShadow();",651,0.6285714285714286,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/ui/FigCompartmentBox.java
""/**     * TODO: Move this into the toolbar project.     */"","private static PopupToolBoxButton buildPopupToolBoxButton(Object[] actions,",175,0.9113924050632911,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/util/ToolBarUtility.java
""/*     * TODO: This is a temporary method of making sure the model is updated     * on loss of focus of a combo box. In the long term we should attempt to     * update the model on each keypress.     *      * @see java.awt.event.FocusListener#focusLost(java.awt.event.FocusEvent)     */"","too long.",0,0,0
"// These methods are based on the GraphEvents. These need replacing by // more specic meaningful requests of the diagram interface model","void nodeAdded(Object source, Object arg);",58,0.6781609195402298,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model/src/org/argouml/model/DiagramInterchangeModel.java
"// TODO: All super constrcutors should take a GraphModel","setGraphModel(createGraphModel());",125,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/collaboration/ui/UMLCollaborationDiagram.java
"// workaround for missing ability to parse "*"","if (value instanceof Collection) {",1825,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java
"// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor","private CollabDiagramGraphModel createGraphModel() {",194,0.7794117647058824,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/collaboration/ui/UMLCollaborationDiagram.java
"// this is wrongly called with a null handle, // as a workaround we return an empty collection","return Collections.emptyList();",510,0.6491228070175439,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java
"// TODO: not navigable this direction? - tfm","return Collections.EMPTY_SET;",1561,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-euml/src/org/argouml/model/euml/FacadeEUMLImpl.java
"// TODO: this doesn't look right - review - tfm","Stereotype stereo2 = (Stereotype) extensionHelper.getStereotype(ns,",156,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ExtensionMechanismsFactoryMDRImpl.java
""/**     * @return the statemachine     *     * TODO: If this method is called by any of the Figs, it will introduce     * a dependency cycle.  It would be much better if they could just     * use {@link org.argouml.uml.diagram.ArgoDiagram#getOwner()} which does     * the same thing.     */"","too long.",0,0,0
"// TODO: Need to clean up objectToId // (can we do it based on modelelement delete // notifications?)","extent.refDelete();",342,0.5263157894736842,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-mdr/src/org/argouml/model/mdr/MDRModelImplementation.java
""/**     * The constructor.     * TODO: Why does this method not handle all settings     * (KEY_DEFAULT_SHADOW_WIDTH is missing)?     */"","public TargetManagerPanel() {",89,0.2689075630252101,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/modules/dev/src/org/argouml/dev/TargetManagerPanel.java
"// TODO: Performance critical method","long startTime = System.currentTimeMillis();",187,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ModelManagementHelperMDRImpl.java
"// TODO: Needs work. Must determine which Figs enclosed // in the pool are within the bounds of this Fig // and translate those.","private void translateWithContents(int dx) {",349,0.618421052631579,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/activity/ui/FigPartition.java
"// TODO: Optimize for root model case? - tfm","if (contained(nsa, me)) {",227,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ModelManagementHelperMDRImpl.java
"// TODO: Do we really need to do this? Carried over from old behavior","try {",170,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/ArgoDiagramImpl.java
"// TODO ElementOwnership is not in ModelSubsys!!","/* 4.5.2.18 ElementOwnership */",379,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/profile/internal/ocl/uml14/ModelAccessModelInterpreter.java
"// TODO: This seems like a brute force workaround (and a very // indirect one at that).  It appears to be needed though until // we fix the problem properly. - tfm 20070904","/* This solves issue 2287. */",198,0.5291005291005291,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/ui/explorer/ExplorerTreeModel.java
"// TODO: Is this really needed?","damage();",397,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/diagram/collaboration/ui/FigClassifierRole.java
"// TODO: UML 1.4 spec requires both client and supplier to be // in the same model - tfm","Usage usage = createUsage();",1254,0.8333333333333334,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-core-model-mdr/src/org/argouml/model/mdr/CoreFactoryMDRImpl.java
"// TODO: Unused?","public List<String> getSearchPathList();",134,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/kernel/Project.java
"// These may not actually make any difference at present (the code // behind addTrigger needs more work).","addTrigger("end_navigable");",82,0.5454545454545454,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/cognitive/critics/CrNavFromInterface.java
"// TODO: temporary - let tree expand implicitly - tfm","tree.expandPath(tree.getPathForRow(1));",741,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/ui/explorer/ExplorerTreeModel.java
"//TODO: split into an inherited attr critic and a local //attr critic","public class CrOppEndConflict extends CrUML {",61,0.8846153846153846,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/uml/cognitive/critics/CrOppEndConflict.java
"// TODO: Should throw if the string is not good?","if (c == null) {",226,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/cognitive/ResolvedCritic.java
"// TODO Handle multiple top level packages","p.addMember(model);",266,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/argouml-app/src/org/argouml/persistence/XmiFilePersister.java
