search_string,predict_under_code,line_no,similarity,filepath
"//  FIXME: probably this should also be integrated with isSame() logics","private static boolean areMergeable(ParseContext pctx, SharedWorkOptimizerCache optimizerCache,",655,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/SharedWorkOptimizer.java
"//  Wait for t1 to block, just be sure. Not ideal...","State s;",575,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/test/org/apache/hadoop/hive/ql/exec/tez/TestWorkloadManager.java
"// HIVE-17328: not sure this is correct... I don't think is gets wrapped in UDFToInteger....","bucketColumns.add(new ExprNodeColumnDesc(ci));",209,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/SortedDynPartitionOptimizer.java
"//  We expect this to never happen in practice. Can pool paths even have angled braces?","} while (result != null);",940,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting/MetaDataFormatUtils.java
"//  TODO: This does not work correctly. None of the partitions is created, but the folder   for the first two is created. It is because in HiveMetaStore.add_partitions_core when   going through the partitions, the first two are already put and started in the thread   pool when the exception occurs in the third one. When the exception occurs, we go to   the finally part, but the map can be empty (it depends on the progress of the other   threads) so the folders won't be deleted.      Assert.assertFalse(metaStore.isPathExists(new Path(tableLocation + "/year=2016")));","too long.",0,0,0
"//  TODO: remove this after stashing only rqd pieces from opconverter","private final SemanticAnalyzer                              semanticAnalyzer;",122,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/HiveOpConverter.java
"//  TODO: should we try to make a giant array for one cache call to avoid overhead?","for (Map.Entry<Long, Long> missingChunk : chunksInThisRead.entrySet()) {",267,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/llap/LlapCacheAwareFs.java
"//  Forward the row to reducer as is.   Discard the row.   Vectorized - may forward the row, not sure yet.","None",None,None,None
"//  7. Handle any move session requests. The way move session works right now is   a) sessions get moved to destination pool if there is capacity in destination pool   b) if there is no capacity in destination pool, the session gets killed (since we cannot pause a query)   TODO: in future this the process of killing can be delayed until the point where a session is actually required.   We could consider delaying the move (when destination capacity is full) until there is claim in src pool.   May be change command to support ... DELAYED MOVE TO etl ... which will run under src cluster fraction as long","too long.",0,0,0
"//  Not thread-safe.","System.out.println("Getting versions from " + queryDir);",2177,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/itests/util/src/main/java/org/apache/hadoop/hive/ql/QTestUtil.java
"// it would be better if AlreadyExistsException had an errorCode field....","throw new HiveException(ex, ErrorMsg.DATABSAE_ALREADY_EXISTS, crtDb.getName());",4831,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
"//  TODO: this can probably be replaced with much less code via dynamic dispatch and/or templates.","private PreInsertTableDesc preInsertTableDesc;",36,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/plan/DDLWork.java
"//  TODO Handle this properly","throw new RuntimeException("ContainerInfo not found for container: " + containerId +",376,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java
"//  TODO: Do we need maxLength checking?","byte[] bytes = hiveVarchar.getValue().getBytes();",786,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/exec/vector/VectorAssignRow.java
"//  TODO: prewarm and update can probably be merged.","update();",512,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/cache/CachedStore.java
"//  @deprecated in favour of {@link HCatTable.#getTblProps()}. To be removed in Hive 0.16.","public Map<String, String> getTblProps() {",199,0.9333333333333333,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hcatalog/webhcat/java-client/src/main/java/org/apache/hive/hcatalog/api/HCatCreateTableDesc.java
"//  TODO: disabling this test as tez publishes counters only after task completion which will cause write side counters   to be not validated correctly (DAG will be completed before validation)    @Test(timeout = 60000)","public void testTriggerSlowQueryExecutionTime() throws Exception {",45,0.19900497512437812,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestTriggersNoTezSessionPool.java
"//  TODO: might want to increase the default batch size. 1024 is viable; MS gets OOM if too high.","int nParts = partNames.size();",3090,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
"//  TODO: remove when averageTypeValueSize method RelMdSize","//       supports all types",120,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSize.java
"//  We store all caches in variables to change the main one based on config.   This is not thread safe between different split generations (and wasn't anyway).","private FooterCache footerCache;",608,0.6387434554973822,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
"//  $x/$user/appcache/$appId/${dagId}/output/$mapId   TODO: Once Shuffle is out of NM, this can use MR APIs to convert   between App and Job","String parts[] = jobIdString.split("_");",1074,0.593939393939394,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/llap-server/src/java/org/apache/hadoop/hive/llap/shufflehandler/ShuffleHandler.java
"// todo: does this need the finalDestination?","desc = new FileSinkDesc(basePath, tableDesc, false, 1, false,",287,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/test/org/apache/hadoop/hive/ql/exec/TestFileSinkOperator.java
"//  todo: add LIMIT 1 instead of count - should be more efficient","s = "select count(*) from COMPLETED_TXN_COMPONENTS where CTC_TXNID = " + txnid;",4235,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
"/*      * TODO: client.executeStatement do not support listing resources command     * (beeline> list jar)      */","// Assert.assertEquals("expected uri", api.getAddedResource("jar"));",145,0.8533333333333334,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/service/src/test/org/apache/hive/service/cli/session/TestSessionGlobalInitFile.java
"//  Note: scheduler will call this based on lack of sources at schedule time and set this         to true... there's no easy way to work around this. Need better classes","if (this.canUpdateFinishable) {",363,0.7093596059113301,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/llap-server/src/test/org/apache/hadoop/hive/llap/daemon/impl/TaskExecutorTestHelpers.java
"//  TODO: will this also fix windowing? try","RowResolver inputRR = this.relToHiveRR.get(srcRel), starRR = inputRR;",4344,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/parse/CalcitePlanner.java
"//  but let's make it a little bit more explicit.","if (allPartitions != null) {",3939,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/exec/DDLTask.java
"//  TODO: This should inherit from VolcanoCost and should just override isLE   method.","public class HiveCost implements RelOptCost {",31,0.9481481481481482,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/cost/HiveCost.java
"//  TODO: 1) check for duplicates 2) We assume in clause values to be   present in NDV which may not be correct (Range check can find it) 3) We   assume values in NDV set is uniformly distributed over col values   (account for skewness - histogram).","selectivity = computeFunctionSelectivity(call) * (call.operands.size() - 1);",117,0.43478260869565216,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/FilterSelectivityEstimator.java
"//  TODO: if we didn't care about the column order, we could switch join sides here","//       for TOK_JOIN and TOK_FULLOUTERJOIN.",9546,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
"//  TODO: we could remember if it's unsupported and stop sending calls; although, it might         be a bad idea for HS2+standalone metastore that could be updated with support.         Maybe we should just remember this for some time.","if (!resp.isIsSupported()) {",2605,0.5836575875486382,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClientPreCatalog.java
"//  @deprecated in favour of {@link HCatTable.#location(String)}. To be removed in Hive 0.16.","public Builder location(String location) {",310,0.935672514619883,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hcatalog/webhcat/java-client/src/main/java/org/apache/hive/hcatalog/api/HCatCreateTableDesc.java
"//  TODO: why is this like that?","for(ReadEntity re : partitionsRead) {",1012,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/parse/UpdateDeleteSemanticAnalyzer.java
"/*  TODO Escape handling may be changed by a follow on.     * The largest issue is ; which are treated as statement     * terminators for the cli. Once the cli is fixed this     * code should be re-investigated      */","while (command.charAt(startPosition++) != '`' && startPosition < command.length()){",154,0.42718446601941745,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/processors/CompileProcessor.java
