search_string,predict_under_code,line_no,similarity,filepath
""/** XXX I really don't like this - the XML processor is still             * too 'involved' in the processing. A better solution (IMO)             * would be to create UE for Project and Target too, and             * then process the tree and have Project/Target deal with             * its attributes ( similar with Description ).             *             * If we eventually switch to ( or add support for ) DOM,             * things will work smoothly - UE can be avoided almost completely             * ( it could still be created on demand, for backward compatibility )             */"","too long.",0,0,0
"// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.","String name = test.toString();",108,0.6942148760330579,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitVersionHelper.java
"// XXX ignore attributes in a different NS ( maybe store them ? )","throw new SAXParseException("Unexpected attribute \"" + attrs.getQName(i) + "\"", context.locator);",628,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/proposal/embed/src/java/org/apache/tools/ant/helper/ProjectHelperImpl2.java
"//borrowed from TokenFilterTest","private String getFileString(String filename) throws IOException {",477,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java
"// XXX Move to Project ( so it is shared by all helpers )","String antFileProp = "ant.file." + context.getCurrentProjectName();",727,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/helper/ProjectHelper2.java
"// What is the property supposed to be?","propertyValue =",220,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/tests/junit/org/apache/tools/ant/taskdefs/XmlPropertyTest.java
"// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name","if (ANT_TYPE.equals(name)",1035,0.3125,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/helper/ProjectHelper2.java
"// there's a convenient xsltc class version but data are // private so use package information","Class procVersion = Class.forName(procVersionClassName);",115,0.746031746031746,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/junit/XalanExecutor.java
"// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped","private static boolean[] gNeedEscaping = new boolean[128];",42,0.6956521739130435,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/launch/Locator.java
"// bingo append it. (this should normally not be done here)","parent.appendChild(copy);",221,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/junit/DOMUtil.java
"// This is faintly ridiculous:","ze.setCrc (EMPTY_CRC);",1379,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/Zip.java
"//cannot remove underscores due to protected visibility >:(","protected String str_encoding = "JPEG";",63,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/image/Image.java
"// TODO not read, yet in a public setter","private long granularity = FILE_UTILS.getFileTimestampGranularity();",62,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/CopyPath.java
"//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...","Class elementClass = o.getClass();",554,0.6190476190476191,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/ComponentHelper.java
"// not sure what could be the need of this...","res.setSystemId(JAXPUtils.getSystemId(outfile));",179,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java
"// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?","too long.",0,0,0
"// Experimental/Testing, will be removed","if( name.startsWith( "toString:" )) {",199,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/proposal/embed/src/java/org/apache/tools/ant/PropertyHelper.java
"// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had","return defineClass(classname, classData, 0, classData.length,",1127,0.5112107623318386,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/AntClassLoader.java
"//this is really irritating; we need a way to set stuff","String []args = cmd.getJavaCommand().getArguments();",81,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/jsp/compilers/JasperC.java
"//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!","jspFile = new File(files[i]);",270,0.6395348837209303,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/optional/jsp/WLJspc.java
"//silly hack to avoid stack overflow...","if (!readingFiles) {",221,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/types/FilterSet.java
"// -------------------- Access to property tables  -------------------- // This is used to support ant call and similar tasks. It should be // deprecated, it is possible to use a better (more efficient) // mechanism to preserve the context.","too long.",0,0,0
"// XXX - should throw an exception instead?","result.append('\\');",140,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/util/RegexpPatternMapper.java
"// Temporary - until we figure a better API","/** EXPERIMENTAL WILL_CHANGE",116,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/ProjectHelper.java
"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only.","// delegate to next, it's for backward compat only.",490,0.6621621621621622,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/proposal/embed/src/java/org/apache/tools/ant/PropertyHelper.java
"// quick fix for Ant.java use of property before // initializing the project","addTaskDefinition(ANT_PROPERTY_TASK,",463,0.7692307692307693,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/ComponentHelper.java
"// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM)","// We can't do it ourselves as jCVS is GPLed, a third party task",258,0.5680473372781065,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java
""/*             * two reasons are mentioned in the API docs for File.list             * (1) dir is not a directory. This is impossible as             *     we wouldn't get here in this case.             * (2) an IO error occurred (why doesn't it throw an exception             *     then???)             */"","throw new BuildException("IO error scanning directory "",961,0.4104803493449782,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/proposal/sandbox/selectors/src/main/org/apache/tools/ant/DirectoryScanner.java
""/** * Jakarta Commons Logging listener. * Note: do not use the SimpleLog as your logger implementation as it * causes an infinite loop since it writes to System.err, which Ant traps * and reroutes to the logger/listener layer. * * The following names are used for the log: *  org.apache.tools.ant.Project.PROJECT_NAME  - for project events *  org.apache.tools.ant.Target.TARGET_NAME - for target events *  TASK_CLASS_NAME.TARGET_NAME - for events in individual targets. * * In all target and project names we replace ""."" and "" "" with ""-"". * * TODO: we should use the advanced context logging features (and expose them * in c-l first :-) * TODO: this is _very_ inefficient. Switching the out and tracking the logs * can be optimized a lot - but may require few more changes to the core. * * @since Ant 1.5 */"","too long.",0,0,0
"//     * @TODO using taskName here is brittle, as a user could override it. //     *       this should probably be modified to use the classname instead.","if ("execon".equals(getTaskName())) {",298,0.6744186046511628,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/main/org/apache/tools/ant/taskdefs/ExecuteOn.java
