search_string,predict_under_code,line_no,similarity,filepath
"// use COUNT as the default.  This mimics the old behavior, although // NONE might be a better option moving forward in the case of callable","return ExecuteUpdateResultCheckStyle.COUNT;",819,0.6588235294117647,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java
"//perhaps not really necessary...","String sequentialSelect = generateSequentialSelect(loadable);",1023,0.6896551724137931,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java
"// todo : what else to do here?","return null;",142,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/bytecode/internal/javassist/ProxyFactoryFactoryImpl.java
"//TODO: disable batch loading if lockMode > READ?","return BatchingEntityLoaderBuilder.getBuilder( getFactory() )",2482,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java
"//TODO: to handle concurrent writes correctly, the client should pass in a Lock","None",None,None,None
"// turn hibernate.c3p0.* into c3p0.*, so c3p0 // gets a chance to see all hibernate.c3p0.*","for ( Object o : props.keySet() ) {",158,0.6782608695652174,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-c3p0/src/main/java/org/hibernate/service/jdbc/connections/internal/C3P0ConnectionProvider.java
"//note there is a wierd implementation in the client side","None",None,None,None
"// todo: this was added to support initializing an entity's EntityEntry snapshot during reattach; // this should be refactored to instead expose a method to assemble a EntityEntry based on this // state for return.","public Serializable[] getDisassembledState();",59,0.6363636363636364,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/cache/spi/entry/CacheEntry.java
"// Do we need to drop constraints before dropping tables in this dialect?","return true;",447,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
""/**     * FIXME Per the RegionFactory class Javadoc, this constructor version     * should not be necessary.     *      * @param props The configuration properties     */"","*           Environmental properties; currently unused.",197,0.17142857142857143,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java
"// Does this dialect support check constraints?","return false;",432,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/hibernate-core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
"// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call start","None",None,None,None
"// Does this dialect support the UNIQUE column syntax?","None",None,None,None
