search_string,predict_under_code,line_no,similarity,filepath
"// Creating new QueryState unfortunately causes all .q.out to change - do this in a separate ticket  Sharing QueryState between generating the plan and executing the query seems bad","//BaseSemanticAnalyzer sem = SemanticAnalyzerFactory.get(new QueryState(queryState.getConf()), input);",160,0.7063829787234043,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/parse/ExplainSemanticAnalyzer.java
"//  TODO: we currently pass null counters because this doesn't use LlapRecordReader.         Create counters for non-elevator-using fragments also?","return lowLevelCache.getFileData(fileKey, range, baseOffset, factory, null, gotAllData);",271,0.7461139896373057,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/llap-server/src/java/org/apache/hadoop/hive/llap/io/api/impl/LlapIoImpl.java
"//  TODO: Not sure that this is the correct behavior. It doesn't make sense to create the   partition with column with invalid type. This should be investigated later.","// partition without column info. This should be investigated later.",330,0.6889952153110048,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/client/TestAddPartitions.java
"//  todo: use SemanticAnalyzer::genExprNodeDesc   currently SA not available to PTFTranslator.","Map<ASTNode, ExprNodeDesc> map = TypeCheckProcFactory",816,0.688,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/udf/ptf/MatchPath.java
"//  TODO: we might as well kill the AM at this point. How do we do that from here?","LOG.error("Fatal error: scheduler thread has failed and will now exit", t);",2399,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskSchedulerService.java
"//  bitsets can't be correctly serialized by Kryo's default serializer","// BitSet::wordsInUse is transient, so force dumping into a lower form",168,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java
"//  TODO Ideally move some of the other cleanup code from resetCurrentDag over here","}",556,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/llap-tez/src/java/org/apache/hadoop/hive/llap/tezplugins/LlapTaskCommunicator.java
"/*  * TODO:pc remove application logic to a separate interface.  */","public class HiveMetaStore extends ThriftHiveMetastore {",195,0.9622641509433962,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStore.java
"// todo: should this be OK for MM table?","Logger.info("Table " + tbl.getTableName() + " is ACID table. Skip StatsOptimizer.");",295,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/StatsOptimizer.java
"//  TODO: this is a limitation of the AST rewriting approach that we will   not be able to overcome till proper integration of full multi-insert   queries with Calcite is implemented.   The current rewriting gather references from insert clauses and then   updates them with the new subquery references. However, if insert   clauses use * or tab.*, we cannot resolve the columns that we are   referring to. Thus, we just bail out and those queries will not be   currently optimized by Calcite.   An example of such query is:   FROM T_A a LEFT JOIN T_B b ON a.id = b.id   INSERT OVERWRITE TABLE join_result_1   SELECT a.*, b.*   INSERT OVERWRITE TABLE join_result_3   SELECT a.*, b.*;","too long.",0,0,0
"//  TODO: delete tables/databases?","try (Statement stmt = conn.createStatement()) {",76,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/TestWarehouseExternalDir.java
"// TODO: Improve this","if (rel instanceof SemiJoin) {",98,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdDistinctRowCount.java
"//  TODO: this only applies to current thread, so it's not useful at all.","Deadline.resetTimeout(MetastoreConf.convertTimeStr(changeEvent.getNewValue(), TimeUnit.SECONDS,",41,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/SessionPropertiesListener.java
"//  Tracks tasks which could not be allocated immediately.   Tasks are tracked in the order requests come in, at different priority levels.   TODO HIVE-13538 For tasks at the same priority level, it may be worth attempting to schedule tasks with","too long.",0,0,0
"//  FIXME: current objective is to keep the previous outputs...but this is possibly bad..","@Test",106,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/standalone-metastore/src/test/java/org/apache/hadoop/hive/common/TestStatsSetupConst.java
"//  Assume the IO is enabled on the daemon by default. We cannot reasonably check it here.","boolean isLlapOn = HiveConf.getBoolVar(conf, ConfVars.LLAP_IO_ENABLED, llapMode);",279,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/plan/MapWork.java
"// todo: since HIVE-16669 is not done, Minor compact compacts insert delta as well - it should not  Assert.assertTrue("Actual line(file) " + i + " bc: " + rs.get(i), rs.get(i).endsWith(expected2[i][1]));","//now make sure delete deltas are present",255,0.6943396226415094,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/TestAcidOnTez.java
"/*    * Send dropped partition notifications. Subscribers can receive these notifications for a   * particular table by listening on a topic named "dbName.tableName" with message selector   * string {@value org.apache.hive.hcatalog.common.HCatConstants#HCAT_EVENT} =   * {@value org.apache.hive.hcatalog.common.HCatConstants#HCAT_DROP_PARTITION_EVENT}.   * </br>   * TODO: DataNucleus 2.0.3, currently used by the HiveMetaStore for persistence, has been   * found to throw NPE when serializing objects that contain null. For this reason we override   * some fields in the StorageDescriptor of this notification. This should be fixed after   * HIVE-2084 "Upgrade datanucleus from 2.0.3 to 3.0.1" is resolved.    */","too long.",0,0,0
"/*  A nice error message should be given to user.  */","if (tbl.isNonNative()) {",13682,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
"//  Is smbJoin possible? We need correct order","boolean orderFound;",551,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/cost/HiveOnTezCostModel.java
"//  A lot of these methods could be done more efficiently by operating on the Text value   directly, rather than converting to HiveChar.","return new Text(getHiveChar().getStrippedValue());",81,0.7802197802197802,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/serde/src/java/org/apache/hadoop/hive/serde2/io/HiveCharWritable.java
"//  it's only for GBY which should forward all values associated with the key in the range   of limit. new value should be attatched with the key but in current implementation,   only one values is allowed. with map-aggreagtion which is true by default,   this is not common case, so just forward new key/value and forget that (todo)","too long.",0,0,0
"//  ### REVIEW: oops, somebody left the last command   unterminated; should we fix it for them or complain?   For now be nice and fix it.","cmd.append(getOpts().getDelimiter());",1532,0.5695364238410596,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/beeline/src/java/org/apache/hive/beeline/BeeLine.java
