search_string,predict_under_code,line_no,similarity,filepath
"// use COUNT as the default.  This mimics the old behavior, although // NONE might be a better option moving forward in the case of callable","return ExecuteUpdateResultCheckStyle.COUNT;",810,0.6588235294117647,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cfg/HbmBinder.java
"//perhaps not really necessary...","String sequentialSelect = generateSequentialSelect(loadable);",733,0.6896551724137931,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java
"// todo : what else to do here?","return null;",142,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/bytecode/javassist/ProxyFactoryFactoryImpl.java
"//TODO: disable batch loading if lockMode > READ?","return BatchingEntityLoader.createBatchingEntityLoader(",1895,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java
"//TODO: to handle concurrent writes correctly, the client should pass in a Lock","Long ts = new Long( region.nextTimestamp() );",76,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cache/UpdateTimestampsCache.java
"// turn hibernate.c3p0.* into c3p0.*, so c3p0 // gets a chance to see all hibernate.c3p0.*","for ( Iterator ii = props.keySet().iterator(); ii.hasNext(); ) {",140,0.6782608695652174,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/connection-c3p0/src/main/java/org/hibernate/connection/C3P0ConnectionProvider.java
"//note there is a wierd implementation in the client side","}",43,0.8495575221238938,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/dialect/function/CastFunction.java
"// todo: this was added to support initializing an entity's EntityEntry snapshot during reattach; // this should be refactored to instead expose a method to assemble a EntityEntry based on this // state for return.","return disassembledState;",147,0.6363636363636364,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cache/entry/CacheEntry.java
"// Do we need to drop constraints before dropping tables in this dialect?","return true;",447,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
""/**     * FIXME Per the RegionFactory class Javadoc, this constructor version     * should not be necessary.     *      * @param props The configuration properties     */"","*           Environmental properties; currently unused.",154,0.17142857142857143,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/cache-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java
"// Does this dialect support check constraints?","return false;",432,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
"// this is called by SessionFactory irregardless; we just disregard here; // could also add a check to SessionFactory to only conditionally call start","* Callback to perform any necessary cleanup of the underlying cache implementation during SessionFactory.close().",64,0.6631578947368421,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cache/NoCacheProvider.java
"// Does this dialect support the UNIQUE column syntax?","return true;",400,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
"// this is done here 'cos we might only know the type here (ugly!) // TODO: improve this a lot:","if ( value instanceof ToOne ) {",2264,0.8217054263565892,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cfg/HbmBinder.java
"// Does this dialect support the FOR UPDATE syntax?","return false;",543,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
"// todo : what is the implication of this?","id.setDynamic( !entity.hasPojoRepresentation() );",476,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cfg/HbmBinder.java
"// todo : YUCK!!!","optimizer = Environment.getBytecodeProvider().getReflectionOptimizer( mappedClass, getterNames, setterNames, propTypes );",104,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/tuple/entity/PojoEntityTuplizer.java
"// todo : again, how *should* this work for non-pojo entities?","if ( component.getOwner().hasPojoRepresentation() ) {",1885,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/cfg/HbmBinder.java
"// Does this dialect support FOR UPDATE OF, allowing particular rows to be locked?","return false;",548,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/core/src/main/java/org/hibernate/dialect/Cache71Dialect.java
