search_string,predict_under_code,line_no,similarity,filepath
"// we basically ignore protocol. let someone report it...","return initialize(context);",104,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/ext/socket/RubyUDPSocket.java
"// SSS FIXME: Is this correct?","// There are also differences in variable scoping between 1.8 and 1.9",470,0.6111111111111112,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// FIXME: I use a for block to implement END node because we need a proc which captures // its enclosing scope.   ForBlock now represents these node and should be renamed.","Block block = InterpretedBlock.newInterpretedClosure(context, this, self);",64,0.6698564593301436,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/ast/PreExeNode.java
"// SSS FIXME: 1. Is the ordering correct? (poll before next)","// There are also differences in variable scoping between 1.8 and 1.9",470,0.36065573770491804,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// We use a highly uncommon string to represent the paragraph delimiter (100% soln not worth it)","public static final ByteList PARAGRAPH_DELIMETER = ByteList.create("PARAGRPH_DELIM_MRK_ER");",44,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/util/io/Stream.java
"// add a "self" recv here // TODO: is this right?","rootMethod.addInstr(new RECV_ARG_Instr(rootClass.getSelf(), 0));",2484,0.6779661016949152,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// TODO: // MRI behavior: Call "+" or "add", depending on the call. // But this leads to exceptions when Floats are added. See: // http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/17374 // return callCoerced(context, op, b, true); -- this is MRI behavior. // We'll use ours for now, thus providing an ability to add Floats.","if (Double.isNaN(mod)) {",354,0.09364548494983277,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/RubyFloat.java
"// SSS FIXME: Is this correctly placed ... at the end of the loop iteration?","// There are also differences in variable scoping between 1.8 and 1.9",470,0.3013698630136986,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// TODO: Ruby reuses this logic for other "write" behavior by checking if it's an IO and calling write again","if (str.getByteList().length() == 0) {",1238,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/RubyIO.java
"// SSS FIXME: Where does this go? // m.setLinePosition(arrayNode.getPosition());","// There are also differences in variable scoping between 1.8 and 1.9",470,0.26506024096385544,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// it would be nice (and logical!) if exponent form  // behaved like E/e, and decimal form behaved like f, // but no such luck. hence:","if (expForm) {",836,0.56,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/util/Sprintf.java
"// SSS FIXME: These should get normally compiled or initialized some other way ...  // SSS FIXME: Parent/super-type info is incorrect! // These are just placeholders for now .. this needs to be updated with *real* class objects later!","// There are also differences in variable scoping between 1.8 and 1.9",470,0.10679611650485436,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415","final RubyClass fileStatClass = runtime.getFile().defineClassUnder("Stat",runtime.getObject(), ALLOCATOR);",65,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/RubyFileStat.java
"// SSS FIXME: I could make IR_Loop a scope too ... semantically, it is a scope, but, functionally, not sure if this is required yet ...","// There are also differences in variable scoping between 1.8 and 1.9",470,0.18181818181818182,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// this covers the rare case of lower-case class names (and thus will // fail 99.999% of the time). fortunately, we'll only do this once per // package name. (and seriously, folks, look into best practices...)","return getProxyClass(runtime, JavaClass.forNameQuiet(runtime, fullName));",757,0.4935064935064935,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/javasupport/Java.java
"// SSS FIXME: Should this be a string literal or a string? // Dummy class for the script","// There are also differences in variable scoping between 1.8 and 1.9",470,0.2682926829268293,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// TODO should this be deprecated ? (to be efficient, internals should deal with RubyHash directly)","public RubyHash(Ruby runtime, Map valueMap, IRubyObject defaultValue) {",252,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/RubyHash.java
"// SSS FIXME: Does int suffice, or do we need long?","// There are also differences in variable scoping between 1.8 and 1.9",470,0.4230769230769231,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// modules are included with a shim class; we must find that shim to handle super() appropriately","return clazz.findImplementer(implementationClass);",982,1.0,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/javasupport/util/RuntimeHelpers.java
"// Reset value map if this instruction is the start/end of a basic block // // Right now, calls are considered hard boundaries for optimization and // information cannot be propagated across them! // // SSS FIXME: Rather than treat all calls with a broad brush, what we need // is to capture different attributes about a call : //   - uses closures //   - known call target //   - can modify scope, //   - etc. // // This information is probably already present in the AST Inspector","// There are also differences in variable scoping between 1.8 and 1.9",470,0.05527638190954774,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
"// TODO: Determine whether we should perhaps store non-singleton class // in the implementationClass","this.protectedClass = calculateProtectedClass(implementationClass);",100,0.8243243243243243,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/internal/runtime/methods/DynamicMethod.java
"// SSS FIXME: Correct?  Where does closure arg come from?","// There are also differences in variable scoping between 1.8 and 1.9",470,0.3793103448275862,/Users/yonekuramiki/Desktop/resarch/searchSATD-underCode/clone/src/org/jruby/compiler/ir/IR_Builder.java
